Major_ID,Course_Code,Course_Name,Credit,Year,Semester,Remark
4,ELE 1001,Communicative English I,3,1,1,
4,BG 1204,Calculus I,3,1,1,
4,BG 1211,Physics I,3,1,1,
4,BG 1212,Physics Laboratory I,1,1,1,
4,BG 1221,Computer Programming,3,1,1,
4,BG 2208,Discrete Mathematics,3,1,1,
4,ME 1114,Engineering Workshop,1,1,1,
4,GE 1410,Thai for Professional Communication (for Thai students),2,1,1,Take one
4,GE 1411,Thai Language for Multicultural Communication (for non-Thai students),2,1,1,
4,GE 1412,Introductory Thai Usage (for Thai students from international program),2,1,1,
4,ELE 1002,Communicative English II,3,1,2,
4,BG 1205,Calculus II,3,1,2,
4,BG 1213,Physics II,3,1,2,
4,BG 1214,Physics Laboratory II,1,1,2,
4,CE 2102,Data Structures and Algorithms,3,1,2,
4,CE 2703,Introduction to Computer Systems,3,1,2,
4,ME 1113,Engineering Drawing,3,1,2,
4,ELE 2000,Academic English,3,2,1,
4,BBA 1004,Essential Marketing for Entrepreneurs,2,2,1,
4,BG 2207,Engineering Mathematics,3,2,1,
4,CE 2103,Object-Oriented Programming,3,2,1,
4,EE 2201,Electric Circuits,3,2,1,
4,EE 2202,Electric Circuits Laboratory,1,2,1,
4,EE 2605,Engineering Electronics,3,2,1,
4,EE 2606,Engineering Electronics Laboratory,1,2,1,
4,ELE 2001,Advanced Academic English,3,2,2,
4,BBA 1005,Essential Finance for Entrepreneurs,2,2,2,
4,BBA 1006,Essential Economics for Entrepreneurs,2,2,2,
4,BG 2212,Applied Statistics,3,2,2,
4,CE 2104,Software Design and Development,3,2,2,
4,CE 2704,Digital Logic Design,3,2,2,
4,CE 2705,Digital Logic Design Laboratory,1,2,2,
4,GE 1303,Science for Sustainable Future,2,2,2,
4,BBA 1007,Data Analytics for Entrepreneurs,3,3,1,
4,CE 2709,Computer Architecture,3,3,1,
4,CE 3103,Computer Operating Systems,3,3,1,
4,CE 3109,Database Management Systems,3,3,1,
4,CE 4221,Network Applications and Technology,3,3,1,
4,EE 3705,Microprocessors and Microcontrollers,3,3,1,
4,CE 3104,Software Engineering,3,3,2,
4,CE 4224,Telecommunication Network Laboratory,1,3,2,
4,CE 3222,Computer Networks,3,3,2,
4,GE 2110,Human Civilization and Global Citizens,2,3,2,
4,GE 2202,Ethics,3,3,2,
4,xxx,Major Elective,3,3,2,
4,CE 4225,Computer and Network Security,3,4,1,
4,CE 4715,Artificial Intelligence I,3,4,1,
4,CE 4901,Computer Engineering Project I,1,4,1,
4,xxx,Major Elective Course,3,4,1,
4,xxx,Major Elective Course,3,4,1,
4,xxx,Free Elective Course,3,4,1,
4,CE 4902,Computer Engineering Project II,2,4,2,
4,xxx,Major Elective Course,3,4,2,
4,xxx,Major Elective Course,3,4,2,
4,xxx,Free Elective Course,3,4,2,