Course_ID,Course_Code,Course_Name,Course_Description,Credit,Year,Semester,Is_Major_Elective
1,BG 1001,English I,"Lower intermediate academic English, with activities to foster reading, writing, listening, and speaking skills in an academic context .",3,1,1,FALSE
2,BG 1204,Calculus I,"Function, limits, continuity, differentiation, integration, introduction of numerical computation, surface integration, Fourier series .",3,1,1,FALSE
3,BG 1211,Physics I,"Mechanics of particles and rigid bodies, properties of matter, fluid mechanics, heat, vibrations, and waves .",3,1,1,FALSE
4,BG 1212,Physics Laboratory I,Experiments to be done according to BG 1211 Physics I .,1,1,1,FALSE
5,BG 0008,General Chemistry Laboratory,Experiments to be done according to BG 1108 General Chemistry,1,1,1,FALSE
6,BG 1108,General Chemistry,"Stoichiometry and basis of the atomic theory; properties of gas, liquid, solid and solution; chemical equilibrium; ionic equilibrium; chemical kinetic; electronic structures of atoms; chemical bonds; periodic properties; representative elements; nonmetal and transition metals.",3,1,1,FALSE
7,ME 1113,Engineering Drawing,"Descriptive geometry, orthographic, isometric and oblique drawings, drawing of mechanical parts, detailed drawing and assembly drawings, allowable tolerance, and surface details, applied geometry, dimensions and notes, orthographic projections, working drawing, auxiliary views, true length, grade and bearings of a line, true shape of a plane surface, perspective, sectional and developed drawings.",3,1,1,FALSE
8,ME 1114,Engineering Workshop,"Workshop on the use of the machine tools such as a lathe or milling machine, cutting tools, and drilling tools, for milling, cutting, drilling, and shaping metal materials. filing, grinding, and welding of metals. Carpentry is included. Students are required to make workpieces of metal and wood. A full report for each work is required.",2,1,1,FALSE
9,BG 1002,English II,"Intermediate academic English, reinforcing fluency and grammar with task-driven oral and writing exercises, developing vocabulary and sentence writing skills with combined reading comprehension exercises and writing practice.",3,1,2,FALSE
10,BG 1205,Calculus II,"Space vectors, matrices and determinants, linear analytic geometry, differential calculus of multivariable functions, vector analysis, linear integrals, surface integral and volume integrals.",3,1,2,FALSE
11,BG 1213,Physics II,Elements of electromagnetism; alternating current (A. C.) circuits; fundamental electronics; optics; modern physics.,3,1,2,FALSE
12,BG 1214,Physics Laboratory II,Experiments to be done according to BG 1213 Physics II,1,1,2,FALSE
13,BG 1221,Computer Programming,"Computer concepts, hardware and software interaction, current programming language, programming practices .",3,1,2,FALSE
14,IE 1110,Engineering Materials,"Study of relationship between structures, properties, production processes and applications of main groups of engineering materials i.e. metals, polymers, ceramics and composites, phase equilibrium diagrams and their interpretation, mechanical properties and materials degradation.",3,1,2,FALSE
15,BG 2000,English III,"Advanced English for academic and career purposes, emphasizing organization of ideas and clarity of expression and understanding.",3,2,1,FALSE
16,AE 2700,Fundamental Aircraft: Propulsion Theory,"Introduction to basic fundamental theory of aerospace propulsion system, background in the design and operation of different types of propulsion systems for aerospace applications to design, development, operation and maintenance of propulsion systems.",2,2,1,FALSE
17,AE 2921,Problem-based Training in Aircraft Maintenance I,Skill training on the aeronautic engineering and training at the actual work site.,1,2,1,FALSE
18,BG 2208,Discrete Mathematics,"Teachings of major world religions, the role of conscience, self-development in the moral arena, building self-esteem, self-knowledge, and good habits, distinguishing the right from the wrong, doing the right and refraining from the wrong, attaining a more fulfilling life.",3,2,1,FALSE
19,EE 2201,Electric Circuits,"Circuit elements, node and mesh analysis, circuit theorems, resistance, inductance, and capacitance, first and second o der circuits, phasor diagram, AC power circuits, three- phase systems.",3,2,1,FALSE
20,EE 2202,Electric Circuits Laboratory,Laboratory works to be done according to EE 2201 Electric Circuits.,1,2,1,FALSE
21,MCE 2101,Fundamentals of Mechatronics,"Introduction to Mechatronics and the interaction between mechanical actuation and electronic control,
early design evolution, evolution of engineering design, using of sensors in the system, case studies: simple
subsystem integration; modern technologies, control, sensors, power supplies and controlled drives,
Programmable Logic Control (PLC) as a controller for Mechatronics system, The need for a systems
approach to Engineering Design, Control and Embedded Intelligence or PLC. ",3,2,1,FALSE
22,MCE 2102,Fundamentals of Mechatronics Laboratory I,"Experiments covering basic sensors such as inductive, capacitive, magnetic, photoelectric and ultra sonic. Programmable Logic Controllers is introduced and experimental covering Ladder (LD), Structure Text (ST), Function Block Diagram (FBD) and Sequential Flow Chart (SFC) languages.",1,2,1,FALSE
23,BG 2001,English IV,"Advanced English for academic and career purposes, emphasizing critical and analytical skills, and formulating logical and coherent opinions.",3,2,2,FALSE
24,AE 2922,Problem-based Training in Aircraft Maintenance II,Skill training on the aeronautic engineering and training at the actual work site.,1,2,2,FALSE
25,EE 2605,Engineering Electronics,"Semiconductor devices; current-voltage and frequency characteristics; analysis and design of diode circuits; analysis and design of BJT, MOS, CMOS and BiCMOS transistor circuits, operational amplifier and its applications, power supply module.",3,2,2,FALSE
26,EE 2606,Engineering Electronics Laboratory,Laboratory works to be done according to EE 2605 Engineering Electronics.,1,2,2,FALSE
27,GE 2202,Ethics,"Teachings of major world religions, the role of conscience, self-development in the moral arena, building self-esteem, self-knowledge, and good habits, distinguishing the right from the wrong, doing the right and refraining from the wrong, attaining a more fulfilling life.",3,2,2,FALSE
28,ME 2211,Engineering Mechanics I,"Force systems, resultant, equilibrium, fluid statics, kinematics and kinetics of particles and rigid bodies, Newton’s second law of motion, work and energy, impulse and momentum.",3,2,2,FALSE
29,AE 3310,Aircraft Maintenance: Maintenance Human Factor,"Factors that might cause damage in maintenance, theory of human behavior and proactive model including how to avoid accidents during maintaining aircraft and maintenance safety.",1,3,1,FALSE
30,AE 3411,Aircraft System: Aviation Acts and Airworthiness Regulations,"Aviation Acts, Airworthiness Regulation. Laws which relate to maintenance and flight operation based on FAA and EASA.",3,3,1,FALSE
31,AE 3710,Aircraft Maintenance: Aircraft Maintenance I,"Basic aircraft maintenance which concerns the importance, the meaning, the program of maintenance and the organization, and general regulations related to maintenance.",3,3,1,FALSE
32,AE 3722,Fundamental Aircraft: Aerodynamics,"Basic knowledge of aviation, namely fluid dynamics, introduction to flight, flight dynamics, types of aircraft and behaviors of aircraft onboard.",2,3,1,FALSE
33,AE 3723,Fundamental Aircraft: Aircraft Structure,"Basic aircraft structure both theory of basic structure and strength of material, including fatigues and components of airframe and joints.",3,3,1,FALSE
34,AE 3724,Fundamental Aircraft: Aircraft Material,"Basic theory and basic knowledge of aircraft material, types of material especially composite material including the analysis of the problem and fixing.",3,3,1,FALSE
35,AE 3921,Problem-based Training in Aircraft Maintenance III,Skill training on the aeronautic engineering and training on the actual work site. ,1,3,1,FALSE
36,AE 3311,Aircraft System: Technical Document System,"Common and manufacturing aircraft manual, service letters, service bulletin and other issued documents, which are presented in terms of ATA system for working in maintenance.",3,3,2,FALSE
37,AE 3312,Aircraft System: Logistics,"Logistics or maintenance and material support, how to supply the material or spare parts during conducting maintenance in order to avoid lack or not-in-time materials, systematic management based on basic logistics.",2,3,2,FALSE
38,AE 3511,Aircraft System: Aircraft Communications,"Introduction to basic fundamental theory of communication technology, communication equipment and systems using in aviation, signal flow chart and how to understand the communication system",1,3,2,FALSE
39,AE 3711,Aircraft Maintenance: Aircraft Maintenance II,"Relationship between the operation of flightand maintenance in airline or maintenance repair station, each part of section in maintenance organization, discussion of problems in maintenance management to understand the up-to-date situation in both local and global region.",3,3,2,FALSE
40,AE 3712,Aircraft System: Hydraulic and Pneumatic System,"Basic fundamental theory of hydraulic and pneumatic power system and their applications in various aircraft systems, Pascal’s law in an opened and closed chamber and its application, different components consisting in a simple hydraulic system, functional principle of each component in hydraulic system. Students will learn to design a simple hydraulic system, read a flowchart diagram and perform maintenance on the system involving hydraulic system.",3,3,2,FALSE
41,AE 3713,Aircraft System: Landing Gear and Brake System,"Basic functional principle of landing gear and brake system, how to service and maintain landing gear systems and related components including wheels, brakes, indication systems and warning systems.",3,3,2,FALSE
42,AE 3725,Fundamental Aircraft: Aircraft Performance,"Fundamentals of propellers and jet aircraft performance, equation of motion, level flight,gliding, climbing including range and endurance based on FAA requirement.",3,3,2,FALSE
43,AE 3922,Fundamental Aircraft: Practical Verification,Practice of the theoretical knowledge in “Fundamental Aircraft”. The practical assignment related to the topic is given.,1,3,2,FALSE
44,AE 4721,Aircraft System: Fuel System,"Basic fundamental theory and functional principle of fuel system, how to safely service aircraft with correct rated fuel and theory towards the maintenance of aircraft airframe fuel systems, advises on aircraft fuel systems removal, repair, and installation maintenance procedures and policies, diagnoses fuel system and component malfunctions, recommendations of corrective actions and resolutions of problems using technical publications and analytic techniques.",3,4,1,FALSE
45,AE 4722,Aircraft System: Powerplant,"Basic fundamental theory and functional principle of an aircraft power plant system, all the equipment which work together with the propulsion system, flowchart of power system which supports the aircraft power, functional principle of each part and how to perform maintenance on power plant system.",3,4,1,FALSE
46,AE 4821,Aircraft System: Aircraft Electrical System,"Basic fundamental theory of aircraft electrical system technology, equipment and sources of electrical supply using in aviation, electrical flow chart and how to understand the communication",3,4,1,FALSE
47,AE 4921,Aircraft Maintenance: Practical Verification,Practice of the theoretical knowledge in “Aircraft Maintenance Aircraft”. The practical assignment related to the topic is given.,1,4,1,FALSE
48,BEN 3201,Innovation and Design Thinking,"Systematic approach to business innovation and creative problem solving that can be used in developing new products, new services and new organizations of business. Design thinking tools are introduced to have self-development to become innovative thinker and to uncover business opportunities.",3,4,1,FALSE
49,AE 4621,Aircraft System: Ground Support Equipment,"Types of Ground Support Equipment (GSE) which are used to support during conducting maintenance, including how to handle and provide maintenance to GSE, units such as airline or maintenance company to be responsible for GSE.",2,4,2,FALSE
50,AE 4622,Aircraft System: Non-Destructive Inspection,"Basic theory, current methods of Non-Destructive Inspection (NDI) used for aircraft structures, level of NDI, technique and tools.",3,4,2,FALSE
51,AE 4723,Aircraft System: Stability and Weight & Balance System,"Stability of aircraft based on basic physics and flightdynamics, basic of Weight and Balance (W&B), including tools, schedule and method, discussion of importance and problems.",3,4,2,FALSE
52,AE 4901,Aircraft System: Practical Verification,Practice of the theoretical knowledge in “Aircraft System Aircraft”. The practical assignment related to the topic is given.,1,4,2,FALSE
53,BEN 3001,Entrepreneur and Innovation,An introduction to the concept and theory of entrepreneurship to understand the nature of entrepreneurship and the driving forces of new business success. Entrepreneurial design thinking process and business model development are introduced to develop an innovative and creative business model.,3,4,2,FALSE
54,BG 1001,English I,"Lower intermediate academic English, with activities to foster reading, writing, listening, and speaking skills in an academic context .",3,1,1,FALSE
55,BG 1204,Calculus I,"Function, limits, continuity, differentiation, integration, introduction of numerical computation, surface integration, Fourier series .",3,1,1,FALSE
56,BG 1211,Physics I,"Mechanics of particles and rigid bodies, properties of matter, fluid mechanics, heat, vibrations, and waves .",3,1,1,FALSE
57,BG 1212,Physics Laboratory I,Experiments to be done according to BG 1211 Physics I .,1,1,1,FALSE
58,BG 1221,Computer Programming,"Computer concepts, hardware and software interaction, current programming language, programming practices .",3,1,1,FALSE
59,ME 1112,Engineering Laboratory,"To get acquainted with simple machine tools, electrical wiring and transformer winding, practice of basic electrical measuring instruments and basic electrical devices assembly with circuit diagrams. A full report of each job is required.",2,1,1,FALSE
60,ME 1113,Engineering Drawing,"Descriptive geometry, orthographic, isometric and oblique drawings, drawing of mechanical parts, detailed drawing and assembly drawings, allowable tolerance, and surface details, applied geometry, dimensions and notes, orthographic projections, working drawing, auxiliary views, true length, grade and bearings of a line, true shape of a plane surface, perspective, sectional and developed drawings.",3,1,1,FALSE
61,BG 0008,General Chemistry Laboratory,Experiments to be done according to BG 1108 General Chemistry,1,1,2,FALSE
62,BG 1108,General Chemistry,"Stoichiometry and basis of the atomic theory; properties of gas, liquid, solid and solution; chemical equilibrium; ionic equilibrium; chemical kinetic; electronic structures of atoms; chemical bonds; periodic properties; representative elements; nonmetal and transition metals.",3,1,2,FALSE
63,BG 1002,English II,"Intermediate academic English, reinforcing fluency and grammar with task-driven oral and writing exercises, developing vocabulary and sentence writing skills with combined reading comprehension exercises and writing practice.",3,1,2,FALSE
64,BG 1205,Calculus II,"Space vectors, matrices and determinants, linear analytic geometry, differential calculus of multivariable functions, vector analysis, linear integrals, surface integral and volume integrals.",3,1,2,FALSE
65,BG 1213,Physics II,Elements of electromagnetism; alternating current (A. C.) circuits; fundamental electronics; optics; modern physics.,3,1,2,FALSE
66,BG 1214,Physics Laboratory II,Experiments to be done according to BG 1213 Physics II,1,1,2,FALSE
67,BG 2208,Discrete Mathematics,"Teachings of major world religions, the role of conscience, self-development in the moral arena, building self-esteem, self-knowledge, and good habits, distinguishing the right from the wrong, doing the right and refraining from the wrong, attaining a more fulfilling life.",3,1,2,FALSE
68,IE 1110,Engineering Materials,"Study of relationship between structures, properties, production processes and applications of main groups of engineering materials i.e. metals, polymers, ceramics and composites, phase equilibrium diagrams and their interpretation, mechanical properties and materials degradation.",3,1,2,FALSE
69,BG 2000,English III,"Advanced English for academic and career purposes, emphasizing organization of ideas and clarity of expression and understanding.",3,2,1,FALSE
70,EE 2201,Electric Circuits,"Circuit elements, node and mesh analysis, circuit theorems, resistance, inductance, and capacitance, first and second o der circuits, phasor diagram, AC power circuits, three- phase systems.",3,2,1,FALSE
71,EE 2202,Electric Circuits Laboratory,Laboratory works to be done according to EE 2201 Electric Circuits.,1,2,1,FALSE
72,MCE 2101,Fundamentals of Mechatronics Engineering,"Introduction to Mechatronics and the interaction between mechanical actuation and electronic control,
early design evolution, evolution of engineering design, using of sensors in the system, case studies: simple
subsystem integration; modern technologies, control, sensors, power supplies and controlled drives,
Programmable Logic Control (PLC) as a controller for Mechatronics system, The need for a systems
approach to Engineering Design, Control and Embedded Intelligence or PLC. ",3,2,1,FALSE
73,MCE 2102,Fundamentals of Mechatronics Engineering Laboratory I,"Experiments covering basic sensors such as inductive, capacitive, magnetic, photoelectric and ultra sonic. Programmable Logic Controllers is introduced and experimental covering Ladder (LD), Structure Text (ST), Function Block Diagram (FBD) and Sequential Flow Chart (SFC) languages.",1,2,1,FALSE
74,MGT 1101,Introduction to Business,"General introduction to business, philosophy, objectives and responsibility of business enterprises, business vocabulary, business and its environment emphasizing fundamental principles of organization, legal forms of business ownership, business activities concerning personnel, accounting, marketing, production and finance",3,2,1,FALSE
75,BG 2001,English IV,"Advanced English for academic and career purposes, emphasizing critical and analytical skills, and formulating logical and coherent opinions.",3,2,2,FALSE
76,BG 2209,Statistics for Engineers,"Sets and probability, random variables, probability distribution, continuous and discrete models, parameters approximation, reliability range, hypothesis tests, regression and linear correlation.",3,2,2,FALSE
77,GE 2101,World Civilization,"Development of human society, rise and fall of civilizations, achievements and heritages of Western and Eastern civilizations since ancient times in order to understand their roots; globalization impacts on modern societies; cross-cultural society.",3,2,2,FALSE
78,EE 2605,Engineering Electronics,"Semiconductor devices; current-voltage and frequency characteristics; analysis and design of diode circuits; analysis and design of BJT, MOS, CMOS and BiCMOS transistor circuits, operational amplifier and its applications, power supply module.",3,2,2,FALSE
79,EE 2606,Engineering Electronics Laboratory,Laboratory works to be done according to EE 2605 Engineering Electronics.,1,2,2,FALSE
80,ME 2211,Engineering Mechanics I,"Force systems, resultant, equilibrium, fluid statics, kinematics and kinetics of particles and rigid bodies, Newton’s second law of motion, work and energy, impulse and momentum.",3,2,2,FALSE
81,GE 1301,Environmental Science,"General science, scientificapproaches, understanding the interrelationships of the nature, identification and analysis of environmental problems, application and alternative solutions for preventing and solving the environmental problems.",3,2,3,FALSE
82,AE 3302,Intermediate Flying: Flight Performance and Planning I,"Knowledge and principles to enable the pilot and future captain to check that an aircraft is correctly loaded and balanced for safe and efficientoperations which include theories required to operate an aircraft safely in all phases of flight:take-off, climb, cruise, descent and landing, as well as typical aircraft types.",3,3,1,FALSE
83,AE 3304,Intermediate Flying: Meteorology,"All aspects of meteorology and its application to flightoperations, meteorology and weather forecasting which contribute greatly to flightsafety, how weather-related, in-flighthazards arise and how they should be predicted, avoided and or dealt with.",3,3,1,FALSE
84,AE 3400,Intermediate Flying: Advanced Aerodynamics,Basic aerodynamic theory to transonic and supersonic flight to help professional pilots master the fundamental principles upon which flightdepends and which are essential to a full understanding of the flight characteristics of whichever aicraft they may operate.,3,3,1,FALSE
85,AE 3501,Intermediate Flying: Power Plants and Instrumentations,"Engine design and engine operation considerations as well as recognition of engine malfunctions, flight instruments, warning and recording equipment and automatic flight contol systems.",3,3,1,FALSE
86,AE 4300,Intermediate Flying: Crew Resources Management and Flight Safety,"Human error and reliability, error chain, error prevention and detection, organizational factors, company safety culture, stress and stress management, fatigue and vigilance, information acquisition and processing, situational awareness, workload management, aeronautical decision making, communication and coordination inside and outside the cockpit, leadership and team behavior synergy, automation and philosophy of the usage of automation, basic flightsafety concepts, theories of cause of accident, Human Factors Failure Analysis Classification System (H-ACS), and case study of both incident and accident.",1,3,1,FALSE
87,AE 4301,Intermediate Flying: Human Performance and Limitations,Limitations of the human body operating in an aviation environment as well as dealing with all the aspects of the decision making process relevant to the pilot.,3,3,1,FALSE
88,AE 1100,Core Flying: Single-Engine Flight - Ground,"Regulations, safety, pre-solo operations, cross-country planning, airspace, chart use, communications, weather, performance, weight and balance, aerodynamics, and decision-making.",3,3,2,FALSE
89,AE 1101,Theory of Single-Engine Flight,"Pilot’s Operation Handbook (POH), Standard Operating Procedure (SOP), Checklist, Preflight Inspection, Entry/Leave Training Area, Pattern T/G, Taxi Check, NAV Check, Turn and Slip Check, Flight Control Check and Air Work, Brief Mission Card, METAR, TAF, Flight Plan, NOTAM before Flight",3,3,2,FALSE
90,AE 1200,Core Flying: Single-Engine Flight - Flight,,2,3,2,FALSE
91,AE 2100,Basic Flying: Single/Multi-Engine - Ground,"Instrument flyingregulations, safety, operations, navigation systems, chart use, weather, flightplanning, decision-making, and crew resource management.",3,3,2,FALSE
92,AE 2200,Basic Flying: Single/Multi-Engine - Flight I,Fight practice to be done according to AE 2100 Basic Flying: Single/Multi-Engine -- Ground,1,3,2,FALSE
93,AE 2201,Basic Flying: Single/Multi-Engine - Flight II,Training in maneuvers and procedures required for instrument flight test in order to be endorsed with instrument rating in pilot license.,1,3,2,FALSE
94,AE 2202,Basic Flying: Multi-Engine Operations,"Multi-engine rating, multi-engine aerodynamics, maneuvers and procedures, engine-out operations, safety, operations, flight planning, and decision-makin",2,3,2,FALSE
95,AE 3700,Commercial Flight I,"Continued training in the maneuvers and procedures necessary to meet the standards contained in the commercial pilot practical test standards, and training in cockpit resources management and safe flying practices.",3,3,3,FALSE
96,AE 3705,Commercial Flight - Ground,"General knowledge of commercial flight:advanced aerodynamic, predicting performance, controlling weight and balance, emergency procedures, commercial decision making, maximum performance in takeoffs & landings, maximum performance in maneuver",3,3,3,FALSE
97,AE 2203,Basic Flying: Operational Procedures,"Operational procedures related to the safe operations of flight,operational procedures prescribed in ICAO annex 6: Operation of Aircraft, national and international aviation law.",1,4,1,FALSE
98,AE 2300,Basic Flying: Flight Communications,"Radio Telephony (RT) communications which lie at the base of procedural flyingin the professional aviation environment, standard phraseologies and terminologies used in international aviation environment.",1,4,1,FALSE
99,AE 2401,Basic Flying: Air Law,"International air law, JAR-OPS1 and ICAO documents and annexes relevant to international conventions and agreements.",3,4,1,FALSE
100,AE 3701,Commercial Flight II,"Continued training in the maneuvers and procedures necessary to meet the standards contained in the commercial pilot practical test standards, and training in cockpit resources management and safe flying practices.",1,4,1,FALSE
101,AE 3702,Commercial Flight III,"Continued training in the maneuvers and procedures necessary to meet the standards contained in the commercial pilot practical test standards, and training in cockpit resources management and safe flying practices.",1,4,1,FALSE
102,AE 3703,Commercial Flight IV,"Continued training in the maneuvers and procedures necessary to meet the standards contained in the commercial pilot practical test standards, and training in cockpit resources management and safe flying practices.",1,4,1,FALSE
103,GE 2202,Ethics,"Teachings of major world religions, the role of conscience, self-development in the moral arena, building self-esteem, self-knowledge, and good habits, distinguishing the right from the wrong, doing the right and refraining from the wrong, attaining a more fulfilling life",3,4,2,FALSE
