Majors_Courses_ID,Major_ID,Course_ID
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,1,47
48,1,48
49,1,49
50,1,50
51,1,51
52,1,52
53,1,53
54,2,54
55,2,55
56,2,56
57,2,57
58,2,58
59,2,59
60,2,60
61,2,61
62,2,62
63,2,63
64,2,64
65,2,65
66,2,66
67,2,67
68,2,68
69,2,69
70,2,70
71,2,71
72,2,72
73,2,73
74,2,74
75,2,75
76,2,76
77,2,77
78,2,78
79,2,79
80,2,80
81,2,81
82,2,82
83,2,83
84,2,84
85,2,85
86,2,86
87,2,87
88,2,88
89,2,89
90,2,90
91,2,91
92,2,92
93,2,93
94,2,94
95,2,95
96,2,96
97,2,97
98,2,98
99,2,99
100,2,100
101,2,101
102,2,102
103,2,103
104,2,104
105,2,105
106,2,106
107,2,107
108,2,108
109,2,109
110,3,110
111,3,111
112,3,112
113,3,113
114,3,114
115,3,115
116,3,116
117,3,117
118,3,118
119,3,119
120,3,120
121,3,121
122,3,122
123,3,123
124,3,124
125,3,125
126,3,126
127,3,127
128,3,128
129,3,129
130,3,130
131,3,131
132,3,132
133,3,133
134,3,134
135,3,135
136,3,136
137,3,137
138,3,138
139,3,139
140,3,140
141,3,141
142,3,142
143,3,143
144,3,144
145,3,145
146,3,146
147,3,147
148,3,148
149,3,149
150,3,150
151,3,151
152,3,152
153,3,153
154,3,154
155,3,155
156,3,156
157,3,157
158,3,158
159,3,159
160,3,160
161,3,161
162,3,162
163,3,163
164,3,164
165,4,165
166,4,166
167,4,167
168,4,168
169,4,169
170,4,170
171,4,171
172,4,172
173,4,173
174,4,174
175,4,175
176,4,176
177,4,177
178,4,178
179,4,179
180,4,180
181,4,181
182,4,182
183,4,183
184,4,184
185,4,185
186,4,186
187,4,187
188,4,188
189,4,189
190,4,190
191,4,191
192,4,192
193,4,193
194,4,194
195,4,195
196,4,196
197,4,197
198,4,198
199,4,199
200,4,200
201,4,201
202,4,202
203,4,203
204,4,204
205,4,205
206,4,206
207,4,207
208,4,208
209,4,209
210,4,210
211,4,211
212,4,212
213,5,213
214,5,214
215,5,215
216,5,216
217,5,217
218,5,218
219,5,219
220,5,220
221,5,221
222,5,222
223,5,223
224,5,224
225,5,225
226,5,226
227,5,227
228,5,228
229,5,229
230,5,230
231,5,231
232,5,232
233,5,233
234,5,234
235,5,235
236,5,236
237,5,237
238,5,238
239,5,239
240,5,240
241,5,241
242,5,242
243,5,243
244,5,244
245,5,245
246,5,246
247,5,247
248,5,248
249,5,249
250,5,250
251,5,251
252,5,252
253,5,253
254,5,254
255,5,255
256,5,256
257,5,257
258,5,258
259,5,259
260,5,260
261,5,261
262,5,262
263,5,263
264,5,264
265,5,265
266,5,266
267,5,267
268,5,268